"","MSZoning","LotShape","LandContour","LandSlope","Neighborhood","BldgType","HouseStyle","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","ExterQual","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","Fence","SaleCondition","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","SalePrice"
"11","RL","Reg","Lvl","Gtl","Sawyer","1Fam","1Story","Hip","HdBoard","HdBoard","None","TA","CBlock","TA","TA","No","Rec","Ex","Y","SBrkr","TA","Typ","No Fireplace","Detchd","Unf","TA","TA","Y","No Fence","Normal","1","1","0","3","1","5","0","20",-0.0205199812636098,0.00333697073250129,"5","5",1965,1965,-0.576077035080244,1.01372990428469,-0.980477054846021,-0.0397292922675813,-0.317202798387098,-0.794890864438069,-0.904817217976368,52,-1.02650592761034,-0.416174565465597,-0.751918199272585,-0.704241947620518,-0.0414192619662035,129500
"12","RL","IR1","Lvl","Gtl","NridgHt","1Fam","2Story","Hip","WdShing","Wd Shng","Stone","Ex","PConc","Ex","TA","No","GLQ","Ex","Y","SBrkr","Ex","Typ","Gd","BuiltIn","Fin","TA","TA","Y","No Fence","Partial","1","3","0","4","1","11","2","60",0.572339635719307,0.00687336727831064,"9","5",2005,2006,1.00226177774156,1.21544089989613,-0.88316269475421,0.267994349259527,0.050113559652465,1.82120445975649,1.53866124573997,92,1.64974166937376,1.23018665632532,0.420903039038441,-0.387289653068744,-0.0414192619662035,345000
"13","RL","IR2","Lvl","Gtl","Sawyer","1Fam","1Story","Hip","HdBoard","Plywood","None","TA","CBlock","TA","TA","No","ALQ","TA","Y","SBrkr","TA","Typ","No Fireplace","Detchd","Unf","TA","TA","Y","No Fence","Normal","1","1","0","2","1","4","0","20",-0.415759725918888,0.0119728120211628,"5","6",1962,1962,-0.576077035080244,0.643195575389763,-0.887688944060806,-0.331496893122914,-0.648304867605859,-0.794890864438069,-1.14840385610385,49,-1.02650592761034,-0.565843767446589,0.365054408642677,-0.704241947620518,-0.0414192619662035,144000
"14","RL","IR1","Lvl","Gtl","CollgCr","1Fam","1Story","Gable","VinylSd","VinylSd","Stone","Gd","PConc","Gd","TA","Av","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","No Fence","Partial","0","2","0","3","1","7","1","20",0.809483482512474,0.000660250695065483,"7","5",2006,2007,1.11263512129553,-0.972684900323611,2.09737247363916,0.995133917016176,0.857174853373195,-0.794890864438069,-0.0408458608679422,93,1.64974166937376,1.71661156276354,0.524621924059143,-0.206174056182015,-0.0414192619662035,279500
"15","RL","IR1","Lvl","Gtl","NAmes","1Fam","1Story","Hip","MetalSd","MetalSd","BrkFace","TA","CBlock","TA","TA","No","BLQ","TA","Y","SBrkr","TA","Typ","Fa","Attchd","RFn","TA","TA","Y","GdWo","Normal","1","1","1","2","1","5","1","20",-0.257663828056777,0.00196930356008883,"6","5",1960,1960,0.59388040659186,0.634425532102309,-0.106910938673021,0.445790231030745,0.233771738672246,-0.794890864438069,-0.499473827967349,47,-1.02650592761034,-0.565843767446589,-0.751918199272585,2.51055989711891,0.290627459240412,157000
"16","RM","Reg","Lvl","Gtl","BrkSide","1Fam","1.5Unf","Gable","Wd Sdng","Wd Sdng","None","TA","BrkTil","TA","TA","No","Unf","Ex","Y","FuseA","TA","Typ","No Fireplace","Detchd","Unf","TA","TA","Y","GdPrv","Normal","0","1","0","2","1","5","0","45",-0.771475496108638,-0.0214764193955533,"7","8",1929,2001,-0.576077035080244,-0.972684900323611,0.599183953155931,-0.513851643657497,-0.79833549272061,-0.794890864438069,-1.25877905150537,78,0.31161787088171,0.481840646420356,-0.368956162273066,0.986170289988946,-0.0414192619662035,132000
"17","RL","IR1","Lvl","Gtl","NAmes","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","BrkFace","TA","CBlock","TA","TA","No","ALQ","Ex","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","No Fence","Normal","1","1","0","2","1","5","1","20",0.374719763391668,0.0035372362827474,"6","7",1970,1970,0.417283056905505,0.294586354713472,-0.319644656083026,-0.121788930008144,-0.410325255354874,-0.794890864438069,-0.973325959949723,57,0.31161787088171,0.0328330404773799,-0.751918199272585,-0.704241947620518,-0.0414192619662035,149000
"18","RL","Reg","Lvl","Gtl","Sawyer","Duplex","1Story","Gable","MetalSd","MetalSd","None","TA","Slab","No Basement","No Basement","No Basement","No Basement","TA","Y","SBrkr","TA","Typ","No Fireplace","CarPort","Unf","TA","TA","Y","No Fence","Normal","0","2","0","2","2","6","0","90",0.0585279676674458,0.00133919975565595,"4","5",1967,1967,-0.576077035080244,-0.972684900323611,-1.28373575838794,-2.41034104921716,0.345001340050424,-0.794890864438069,-0.417643941721396,54,0.31161787088171,0.201210892705996,-0.751918199272585,-0.704241947620518,-0.0414192619662035,90000
"19","RL","Reg","Lvl","Gtl","SawyerW","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","PConc","TA","TA","No","GLQ","Ex","Y","SBrkr","Gd","Typ","No Fireplace","Detchd","Unf","TA","TA","Y","No Fence","Normal","1","1","1","3","1","6","0","20",-0.178615879125721,0.0155238621438194,"5","5",2004,2004,-0.576077035080244,0.443677090600187,-0.224593420644514,0.128948851976908,-0.125784414620002,-0.794890864438069,-0.763993692808915,91,0.31161787088171,0.481840646420356,-0.751918199272585,0.835240625916672,-0.0414192619662035,159000
"20","RL","Reg","Lvl","Gtl","NAmes","1Fam","1Story","Hip","BrkFace","Plywood","None","TA","CBlock","TA","TA","No","LwQ","TA","Y","SBrkr","TA","Min1","No Fireplace","Attchd","Unf","TA","TA","Y","MnPrv","Abnorml","0","1","0","3","1","6","0","20",-0.0205199812636098,-0.0144427025088606,"5","6",1958,1965,-0.576077035080244,0.132340553895575,-0.0955953154065318,-0.0648030704660865,0.456230941428601,-0.794890864438069,-0.335814055475444,45,-1.02650592761034,-0.837119196037137,-0.751918199272585,-0.704241947620518,-0.0414192619662035,139000
"21","RL","IR1","Lvl","Gtl","NridgHt","1Fam","2Story","Gable","VinylSd","VinylSd","BrkFace","Gd","PConc","Ex","TA","Av","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","RFn","TA","TA","Y","No Fence","Partial","0","3","1","4","1","9","1","60",1.20472322716775,0.018063815464014,"8","5",2005,2006,1.52101649244523,-0.972684900323611,1.33696259013105,0.229243964770928,-0.0119680783260526,1.99530537450149,1.63761831747926,92,1.64974166937376,1.77741467606832,1.16289198572501,1.62007487909249,-0.0414192619662035,325300
"22","RM","Reg","Bnk","Gtl","IDOTRR","1Fam","1.5Unf","Gable","Wd Sdng","Wd Sdng","None","TA","PConc","TA","TA","No","Unf","Ex","Y","FuseF","Gd","Typ","Gd","Attchd","Unf","TA","TA","N","GdPrv","Normal","0","1","0","3","1","6","1","45",-0.534331649315471,-0.0149848848522099,"7","7",1930,1950,-0.576077035080244,-0.972684900323611,0.157874645762836,-0.958341348085542,-0.141304824114631,-0.794890864438069,-0.775411816471141,19,-1.02650592761034,-0.902599471903821,-0.751918199272585,-0.704241947620518,0.345339703075593,139400
"23","RL","Reg","Lvl","Gtl","CollgCr","1Fam","1Story","Hip","VinylSd","VinylSd","BrkFace","Gd","PConc","Gd","TA","No","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","No Fence","Normal","0","2","0","3","1","7","1","20",0.177099891064029,-0.003784667615275,"8","5",2002,2002,0.974668441853064,-0.972684900323611,2.73783675052247,1.64021384703226,1.63578206302044,-0.794890864438069,0.531963342853723,89,0.31161787088171,0.285399818820304,0.6123840575382,1.69553971112863,-0.0414192619662035,230000
"24","RM","Reg","Lvl","Gtl","MeadowV","TwnhsE","1Story","Gable","CemntBd","CmentBd","None","TA","PConc","Gd","TA","No","GLQ","TA","Y","SBrkr","TA","Typ","TA","Attchd","Unf","TA","TA","Y","No Fence","Normal","1","1","0","3","1","6","1","120",-1.04814331736733,-0.0307374799630319,"5","7",1976,1976,-0.576077035080244,0.8690241900417,-0.831110827728358,-0.0397292922675813,-0.265468100071666,-0.794890864438069,-0.866756805768948,63,0.31161787088171,0.463131996172732,0.0459193778097454,0.955984357174491,-0.0414192619662035,129900
"25","RL","IR1","Lvl","Gtl","Sawyer","1Fam","1Story","Gable","Plywood","Plywood","None","TA","CBlock","TA","TA","Mn","Rec","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","MnPrv","Normal","1","1","0","3","1","6","1","20",-0.415759725918888,-0.0110919179364501,"5","8",1968,2001,-0.576077035080244,-0.56049286581328,-0.822058329115166,0.00585939536606437,-0.265468100071666,-0.794890864438069,-0.866756805768948,55,-1.02650592761034,-0.949371097522881,2.48730236368168,0.654125029029944,-0.0414192619662035,154000
"26","RL","Reg","Lvl","Gtl","NridgHt","1Fam","1Story","Gable","VinylSd","VinylSd","Stone","Gd","PConc","Gd","TA","No","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","No Fence","Normal","0","2","0","3","1","7","1","20",1.5604389973575,0.0181370833482504,"8","5",2007,2007,2.95586995864686,-0.972684900323611,2.26031744867661,1.1592531924973,1.13136875444498,-0.794890864438069,0.160874323831382,94,1.64974166937376,1.95046969085884,-0.751918199272585,0.140964171184214,-0.0414192619662035,256300
"27","RL","Reg","Lvl","Gtl","NAmes","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","None","TA","CBlock","TA","TA","Mn","BLQ","TA","Y","SBrkr","Gd","Typ","No Fireplace","Detchd","Unf","TA","TA","Y","No Fence","Normal","0","1","0","3","1","5","0","20",-0.415759725918888,-0.0162011317305338,"5","7",1951,2000,-0.576077035080244,-0.45963736800756,-0.876373320794316,-0.358850105703101,-0.679345686595118,-0.794890864438069,-1.1712401034283,92,0.31161787088171,0.481840646420356,1.01928122185019,-0.221267022589243,-0.0414192619662035,134800
"28","RL","Reg","Lvl","Gtl","NridgHt","1Fam","1Story","Gable","VinylSd","VinylSd","Stone","Gd","PConc","Ex","TA","No","GLQ","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","2","0","3","1","7","1","20",1.08615130377117,0.00469486885368223,"8","5",2007,2008,0.527656400459477,1.69779328070609,-0.183857176885151,1.47381513716946,1.40038918568522,-0.794890864438069,0.358788467309964,95,1.64974166937376,1.39856450855393,-0.751918199272585,0.0504063727408497,-0.0414192619662035,306000
"29","RL","IR1","Lvl","Gtl","NAmes","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","CBlock","TA","TA","Gd","BLQ","TA","Y","SBrkr","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","1","0","2","1","6","2","20",-0.929571393970749,0.028350626410802,"5","6",1957,1997,-0.576077035080244,1.82715141919603,-0.815268955155272,0.972339573199353,1.13136875444498,-0.794890864438069,0.160874323831382,44,-1.02650592761034,-0.720190131989487,1.54585402272453,3.18974338544414,-0.0414192619662035,207500
"30","RM","IR1","Lvl","Gtl","BrkSide","1Fam","1Story","Gable","MetalSd","MetalSd","None","TA","BrkTil","TA","TA","No","Unf","Fa","N","SBrkr","Fa","Typ","No Fireplace","Detchd","Unf","Fa","TA","Y","No Fence","Normal","0","1","0","1","1","4","0","30",-0.415759725918888,-0.0204799761699385,"4","6",1927,1950,-0.576077035080244,-0.972684900323611,-0.106910938673021,-1.22503517074237,-1.66230495458831,-0.794890864438069,-1.89438793536928,9,-1.02650592761034,-1.08968597438006,-0.360977786502243,-0.704241947620518,0.122717469539339,68500
"31","C (all)","Reg","Lvl","Gtl","IDOTRR","1Fam","2Story","Gambrel","BrkFace","BrkFace","None","TA","BrkTil","TA","TA","No","Unf","TA","N","SBrkr","TA","Typ","No Fireplace","Detchd","Unf","TA","Fa","N","MnPrv","Normal","0","1","0","3","1","6","0","70",-0.810999470574166,-0.0098512484300474,"4","4",1920,1950,-0.576077035080244,-0.972684900323611,0.185032141602411,-0.930988135505355,-1.32861615045378,0.735364544110061,-0.377680508903606,9,-1.02650592761034,-1.042914348761,-0.751918199272585,0.110778238369759,0.283080942849353,40000
"32","RL","IR1","Lvl","Gtl","Sawyer","1Fam","1Story","Gable","HdBoard","HdBoard","None","TA","CBlock","TA","TA","No","Unf","Gd","Y","SBrkr","Gd","Typ","No Fireplace","Attchd","Unf","TA","TA","Y","MnPrv","Normal","0","1","1","3","1","6","0","20",0.0980519421329736,-0.00963632930295401,"5","6",1966,2006,-0.576077035080244,-0.972684900323611,1.49538131586191,0.388804371488688,0.169103365777957,-0.794890864438069,-0.547049343226623,53,-1.02650592761034,-0.944693934960975,-0.751918199272585,0.27680086884926,-0.0414192619662035,149350
"33","RL","Reg","Lvl","Gtl","CollgCr","1Fam","1Story","Gable","VinylSd","VinylSd","None","Gd","PConc","Ex","TA","Av","Unf","Ex","Y","SBrkr","Gd","Typ","No Fireplace","Attchd","RFn","TA","TA","Y","No Fence","Normal","0","2","0","3","1","7","0","20",0.572339635719307,0.00259940736452172,"8","5",2007,2007,-0.576077035080244,-0.972684900323611,1.5089600637817,0.402480977778782,0.184623775272587,-0.794890864438069,-0.535631219564397,94,0.31161787088171,0.0515416907250039,-0.751918199272585,-0.251452955403697,-0.0414192619662035,179900
"34","RL","IR1","Lvl","Gtl","NAmes","1Fam","1Story","Hip","BrkFace","BrkFace","None","TA","CBlock","TA","TA","No","Rec","Gd","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","No Fence","Normal","0","1","1","4","1","6","1","20",-0.0205199812636098,0.000171798133489605,"5","5",1959,1959,-0.576077035080244,1.2592911163334,-0.423748390134731,0.776308216374677,1.39004224602214,-0.794890864438069,0.35117638486848,46,0.31161787088171,-0.121513324065518,-0.751918199272585,-0.130709224145879,-0.0414192619662035,165500
"35","RL","Reg","Lvl","Gtl","NridgHt","TwnhsE","1Story","Hip","MetalSd","MetalSd","BrkFace","Ex","PConc","Ex","TA","No","GLQ","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","Fin","TA","TA","Y","No Fence","Normal","1","2","0","2","1","6","1","120",-0.415759725918888,-0.0156491803359531,"9","5",2005,2005,0.781515090633613,1.55528007728496,-0.360380899842389,1.14785602058889,1.03048609272989,-0.794890864438069,0.0866565200269135,92,0.31161787088171,0.388297395182236,0.867692082204545,0.00512747351916768,-0.0414192619662035,277500
"36","RL","Reg","Lvl","Gtl","NridgHt","1Fam","2Story","Gable","VinylSd","VinylSd","Stone","Gd","PConc","Ex","TA","Av","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","BuiltIn","Fin","TA","TA","Y","No Fence","Normal","0","3","1","4","1","9","1","60",1.48139104842645,0.0141708485482542,"8","5",2004,2005,0.152387032375972,-0.972684900323611,1.24417447934584,0.135787155121955,-0.0792231861361135,2.22896712850135,1.78224788386746,91,1.64974166937376,1.01971434103955,0.149638262830448,-0.221267022589243,-0.0414192619662035,309000
"37","RL","Reg","Lvl","Gtl","CollgCr","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","PConc","Gd","TA","No","Unf","Ex","Y","SBrkr","TA","Typ","No Fireplace","Attchd","Unf","TA","TA","Y","No Fence","Normal","0","1","1","3","1","6","0","20",1.63948694628856,0.00167134749752755,"5","5",1994,1995,-0.576077035080244,-0.972684900323611,1.19891198627988,0.0901984674883089,-0.169758908188118,-0.794890864438069,-0.796345043185222,82,0.31161787088171,0.930848252363333,2.37560510289015,0.261707902442033,-0.0414192619662035,145000
"38","RL","Reg","Lvl","Gtl","NAmes","1Fam","1Story","Hip","Wd Sdng","Wd Sdng","BrkFace","TA","CBlock","TA","TA","No","Rec","Gd","Y","SBrkr","TA","Typ","TA","Attchd","Fin","TA","TA","Y","No Fence","Normal","0","1","0","3","1","5","1","20",0.137575916598501,-0.00969494361034312,"5","6",1954,1990,3.01105663042385,1.68683072659677,-1.09363328751092,0.546085343824766,0.347588074966196,-0.794890864438069,-0.415740921111026,41,0.31161787088171,0.117021966591688,-0.751918199272585,-0.704241947620518,-0.0414192619662035,153000
"39","RL","Reg","Lvl","Gtl","NAmes","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","CBlock","TA","TA","No","GLQ","TA","Y","SBrkr","Gd","Typ","No Fireplace","Detchd","Unf","TA","TA","Y","No Fence","Abnorml","1","1","0","3","1","5","0","20",-0.0995679301946654,-0.012674504235956,"5","7",1953,2007,-0.576077035080244,0.630040510458582,-0.545957121412819,-0.000978907778982483,-0.273228304818981,-0.794890864438069,-0.872465867600061,40,-1.02650592761034,-1.06162299900863,-0.751918199272585,0.0805923055553045,-0.0414192619662035,109000
"40","RL","Reg","Lvl","Gtl","Edwards","Duplex","1Story","Gable","AsbShng","Plywood","None","TA","PConc","No Basement","No Basement","No Basement","No Basement","TA","N","FuseP","Fa","Typ","No Fireplace","No Garage","No Garage","No Garage","No Garage","N","No Fence","AdjLand","0","2","0","2","2","6","0","90",-0.218139853591249,-0.021867181444814,"4","5",1955,1955,-0.576077035080244,-0.972684900323611,-1.28373575838794,-2.41034104921716,-0.0274884878206821,-0.794890864438069,-0.691678909614818,29,-2.36462972610238,-2.2122049892375,-0.751918199272585,-0.704241947620518,-0.0414192619662035,82000
"41","RL","Reg","Lvl","Gtl","NAmes","1Fam","1Story","Gable","Wd Sdng","Wd Sdng","BrkFace","TA","CBlock","TA","TA","No","Rec","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","GdWo","Abnorml","0","2","0","3","1","6","1","20",0.532815661253779,-0.00907949338275751,"6","5",1965,1965,-0.0186916501326846,0.437099558134597,-0.276645287670366,0.0696835580531684,0.417429917692028,-0.794890864438069,-0.364359364631009,52,0.31161787088171,-0.15425346199886,-0.751918199272585,1.37858741657686,-0.0414192619662035,160000
"42","RL","Reg","Lvl","Gtl","Timber","1Fam","1Story","Gable","VinylSd","VinylSd","None","TA","CBlock","TA","TA","Gd","BLQ","Gd","Y","SBrkr","TA","Typ","Gd","Attchd","RFn","TA","TA","P","No Fence","Normal","0","1","1","2","1","5","2","20",1.75805886968514,0.0312031893704051,"5","6",1959,1959,-0.576077035080244,1.14747306441836,-0.416959016174837,0.666895366053927,0.427776857355114,-0.794890864438069,-0.356747282189525,46,-1.02650592761034,-0.771638920170453,-0.751918199272585,0.865426558731127,-0.0414192619662035,170000
"43","RL","IR1","Lvl","Gtl","SawyerW","1Fam","SFoyer","Gable","HdBoard","HdBoard","None","TA","CBlock","Gd","TA","Av","ALQ","Gd","Y","SBrkr","Gd","Typ","No Fireplace","Attchd","RFn","TA","Gd","Y","MnPrv","Normal","1","1","0","2","1","5","0","85",-0.652903572712055,-0.00652977101133143,"5","7",1983,1983,-0.576077035080244,0.665120683608397,-1.28373575838794,-0.495616168604038,-0.720733445247463,-0.794890864438069,-1.20168843319424,70,0.31161787088171,0.145084941963124,1.16289198572501,-0.704241947620518,-0.0414192619662035,144000
"44","RL","IR1","Lvl","Gtl","CollgCr","1Fam","1Story","Hip","VinylSd","VinylSd","None","TA","CBlock","Gd","TA","Av","LwQ","TA","Y","SBrkr","TA","Typ","No Fireplace","Detchd","Unf","TA","TA","Y","MnPrv","Normal","1","1","0","3","1","5","0","20",-0.810999470574166,-0.00643208049901626,"5","6",1975,1980,-0.576077035080244,-0.358781870201841,-0.905793941287189,-0.272231599199174,-0.581049759795798,-0.794890864438069,-1.09892532023421,64,-1.02650592761034,-0.771638920170453,0.404946287496794,-0.704241947620518,-0.0414192619662035,130250
"45","RL","Reg","Lvl","Gtl","NAmes","1Fam","1Story","Gable","BrkFace","Wd Sdng","None","TA","CBlock","TA","TA","No","ALQ","Ex","Y","FuseA","TA","Typ","No Fireplace","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","1","0","3","1","6","0","20",-0.0205199812636098,-0.0125621601467935,"5","6",1959,1959,-0.576077035080244,-0.580225463210051,-0.231382794604407,0.21100848971747,-0.0326619576522252,-0.794890864438069,-0.69548495083556,46,-1.02650592761034,-0.809056220665701,-0.751918199272585,-0.704241947620518,-0.0414192619662035,141000
"46","RL","Reg","Lvl","Gtl","NridgHt","TwnhsE","1Story","Hip","MetalSd","MetalSd","BrkFace","Ex","PConc","Ex","TA","No","GLQ","Ex","Y","SBrkr","Ex","Typ","Gd","Attchd","RFn","TA","TA","Y","No Fence","Normal","1","2","0","2","1","6","1","120",-0.37623575145336,-0.0139640189985163,"9","5",2005,2005,1.69761384213158,0.0271000344461288,1.64927379228617,1.58322798749021,1.52455246164226,-0.794890864438069,0.450133456607771,92,0.31161787088171,0.481840646420356,0.811843451808782,0.533381297772125,-0.0414192619662035,319900
